edge	PearsonCor
ENSDARG00000037551 (geneExprCor) ENSDARG00000014039	0.902272791017567
ENSDARG00000037551 (geneExprCor) ENSDARG00000014209	0.921469224514312
ENSDARG00000037874 (geneExprCor) ENSDARG00000000887	0.866675318684574
ENSDARG00000037874 (geneExprCor) ENSDARG00000004874	0.840997642724761
ENSDARG00000037874 (geneExprCor) ENSDARG00000007601	0.873229698999
ENSDARG00000037874 (geneExprCor) ENSDARG00000014039	0.846856033686485
ENSDARG00000037874 (geneExprCor) ENSDARG00000014209	0.858901432426382
ENSDARG00000037874 (geneExprCor) ENSDARG00000037551	0.856146793036024
ENSDARG00000038005 (geneExprCor) ENSDARG00000013351	0.859589535547197
ENSDARG00000038005 (geneExprCor) ENSDARG00000016484	0.829697491883704
ENSDARG00000038066 (geneExprCor) ENSDARG00000002403	0.821803185996174
ENSDARG00000038066 (geneExprCor) ENSDARG00000003920	0.813478503228811
ENSDARG00000038066 (geneExprCor) ENSDARG00000005454	0.800717028168397
ENSDARG00000038066 (geneExprCor) ENSDARG00000006260	0.843694770704093
ENSDARG00000038695 (geneExprCor) ENSDARG00000002403	0.80269777065466
ENSDARG00000038695 (geneExprCor) ENSDARG00000005551	0.805122536981732
ENSDARG00000038695 (geneExprCor) ENSDARG00000007960	0.819436029016659
ENSDARG00000038695 (geneExprCor) ENSDARG00000014017	0.828918301452606
ENSDARG00000038695 (geneExprCor) ENSDARG00000015427	0.821402835100689
ENSDARG00000038695 (geneExprCor) ENSDARG00000023330	0.823408459342112
ENSDARG00000038695 (geneExprCor) ENSDARG00000028335	0.837408641332147
ENSDARG00000038695 (geneExprCor) ENSDARG00000029722	0.825375669101781
ENSDARG00000038695 (geneExprCor) ENSDARG00000031495	0.8756970583252
ENSDARG00000038695 (geneExprCor) ENSDARG00000038066	0.801337639470671
ENSDARG00000040184 (geneExprCor) ENSDARG00000004588	0.837004871712398
ENSDARG00000040184 (geneExprCor) ENSDARG00000004735	0.860068633615035
ENSDARG00000040184 (geneExprCor) ENSDARG00000005551	0.806239805175833
ENSDARG00000040184 (geneExprCor) ENSDARG00000006719	0.803870529350444
ENSDARG00000040184 (geneExprCor) ENSDARG00000008049	0.807239348757375
ENSDARG00000040184 (geneExprCor) ENSDARG00000013351	0.848801993169136
ENSDARG00000040184 (geneExprCor) ENSDARG00000025847	0.825963468091708
ENSDARG00000040184 (geneExprCor) ENSDARG00000029722	0.852027008803095
ENSDARG00000040184 (geneExprCor) ENSDARG00000036161	0.838544340827768
ENSDARG00000040184 (geneExprCor) ENSDARG00000038005	0.81935220348323
ENSDARG00000040245 (geneExprCor) ENSDARG00000005551	0.80854033745532
ENSDARG00000041141 (geneExprCor) ENSDARG00000008049	0.811726397176128
ENSDARG00000041141 (geneExprCor) ENSDARG00000012820	0.86393759621616
ENSDARG00000041141 (geneExprCor) ENSDARG00000016484	0.813434564974748
ENSDARG00000041141 (geneExprCor) ENSDARG00000017762	0.800193389043045
ENSDARG00000041141 (geneExprCor) ENSDARG00000033440	0.883035400325294
ENSDARG00000041141 (geneExprCor) ENSDARG00000035325	0.808205679289536
ENSDARG00000042616 (geneExprCor) ENSDARG00000007601	0.800960208863787
ENSDARG00000042683 (geneExprCor) ENSDARG00000000887	0.889117357153812
ENSDARG00000042683 (geneExprCor) ENSDARG00000004874	0.836469388549455
ENSDARG00000042683 (geneExprCor) ENSDARG00000014039	0.839792273464057
ENSDARG00000042683 (geneExprCor) ENSDARG00000014209	0.834646077735442
ENSDARG00000042683 (geneExprCor) ENSDARG00000037551	0.805158188530987
ENSDARG00000042698 (geneExprCor) ENSDARG00000000887	0.946546698645199
ENSDARG00000042698 (geneExprCor) ENSDARG00000002956	0.808236198701926
ENSDARG00000042698 (geneExprCor) ENSDARG00000004874	0.836937298633142
ENSDARG00000042698 (geneExprCor) ENSDARG00000007601	0.879545387182585
ENSDARG00000042698 (geneExprCor) ENSDARG00000011932	0.807544557158013
ENSDARG00000042698 (geneExprCor) ENSDARG00000014039	0.871866404645601
ENSDARG00000042698 (geneExprCor) ENSDARG00000014209	0.894800298879736
ENSDARG00000042698 (geneExprCor) ENSDARG00000022817	0.805862840474055
ENSDARG00000042698 (geneExprCor) ENSDARG00000037551	0.892111653185181
ENSDARG00000042698 (geneExprCor) ENSDARG00000037874	0.813334610332918
ENSDARG00000042698 (geneExprCor) ENSDARG00000042683	0.943698933008079
ENSDARG00000042956 (geneExprCor) ENSDARG00000000887	0.881455739079225
ENSDARG00000042956 (geneExprCor) ENSDARG00000002956	0.804316504552038
ENSDARG00000042956 (geneExprCor) ENSDARG00000004874	0.81925566644338
ENSDARG00000042956 (geneExprCor) ENSDARG00000007601	0.841573152257529
ENSDARG00000042956 (geneExprCor) ENSDARG00000014039	0.802783877882741
ENSDARG00000042956 (geneExprCor) ENSDARG00000014209	0.859395483264561
ENSDARG00000042956 (geneExprCor) ENSDARG00000025615	0.835147887406567
ENSDARG00000042956 (geneExprCor) ENSDARG00000037551	0.868585737668503
ENSDARG00000042956 (geneExprCor) ENSDARG00000037874	0.820137641434238
ENSDARG00000042956 (geneExprCor) ENSDARG00000042698	0.830433089651147
ENSDARG00000045580 (geneExprCor) ENSDARG00000000887	0.831563039928607
ENSDARG00000045580 (geneExprCor) ENSDARG00000014039	0.811560641326455
ENSDARG00000045580 (geneExprCor) ENSDARG00000042683	0.823457834855105
ENSDARG00000045580 (geneExprCor) ENSDARG00000042698	0.847438229412047
ENSDARG00000052856 (geneExprCor) ENSDARG00000004735	0.818629374191312
ENSDARG00000052856 (geneExprCor) ENSDARG00000005551	0.815663060210472
ENSDARG00000052856 (geneExprCor) ENSDARG00000007960	0.823435073309555
ENSDARG00000052856 (geneExprCor) ENSDARG00000010487	0.804245321472379
ENSDARG00000052856 (geneExprCor) ENSDARG00000013351	0.853248781344502
ENSDARG00000052856 (geneExprCor) ENSDARG00000014017	0.859165108803332
ENSDARG00000052856 (geneExprCor) ENSDARG00000028335	0.813820668481378
ENSDARG00000052856 (geneExprCor) ENSDARG00000029722	0.82782014103152
ENSDARG00000052856 (geneExprCor) ENSDARG00000035325	0.857030051622779
ENSDARG00000052856 (geneExprCor) ENSDARG00000036161	0.916813575737158
ENSDARG00000052856 (geneExprCor) ENSDARG00000040184	0.843123074880157
ENSDARG00000052856 (geneExprCor) ENSDARG00000040245	0.841768186895369
ENSDARG00000052894 (geneExprCor) ENSDARG00000000887	0.902829179719762
